Food_Item,Category,Calories,Protein_g,Fat_g,Carbs_g,Fiber_g,Vitamin_A_mcg,Vitamin_C_mg,Vitamin_D_IU,Vitamin_B12_mcg,Iron_mg,Calcium_mg,Zinc_mg,Folate_mcg,Magnesium_mg,Tags,Allergens,Health_Benefits
Fish (Pomfret) (89g),Seafood,429.7,2.1,12.3,33.0,5.1,166.3,37.8,361.9,1.4,7.0,258.5,3.9,155.3,5.9,High-Protein,Gluten,Heart Healthy
Bitter Gourd (114g),Vegetable,453.6,13.9,18.1,14.0,2.8,349.2,2.6,134.5,1.63,4.1,57.9,2.4,55.4,95.2,Vegan,Nuts,Energy Boost
Mushroom (81g),Fungus,68.7,11.0,26.0,11.7,3.3,262.6,40.9,135.0,2.11,2.9,285.8,2.2,334.8,73.2,Diabetic-Friendly,None,Improves Digestion
Milk (Cow) (84g),Dairy,473.1,16.5,22.7,57.0,2.6,17.3,13.7,50.5,1.61,5.7,73.2,3.5,307.9,29.3,Diabetic-Friendly,None,Supports Bone Health
Groundnuts (86g),Nut,355.6,23.3,17.3,54.6,4.6,753.2,17.8,236.8,1.99,2.5,212.2,1.6,275.3,121.8,Diabetic-Friendly,None,Improves Digestion
Soybeans (107g),Legume,403.7,2.2,19.5,1.7,5.2,392.7,39.0,144.9,2.14,4.7,54.4,1.0,211.1,99.3,Diabetic-Friendly,Soy,Heart Healthy
Cucumber (107g),Vegetable,498.9,15.0,9.7,15.5,11.2,223.9,40.6,300.2,1.37,6.7,107.6,2.5,133.4,75.7,High-Protein,Gluten,Improves Digestion
Almonds (118g),Nut,426.7,7.3,0.4,56.9,1.2,576.3,44.0,303.3,1.66,6.5,152.3,4.0,41.8,37.1,Vegetarian,Gluten,Energy Boost
Fish (Rohu) (110g),Seafood,341.0,8.9,29.9,33.5,4.4,363.5,27.6,92.2,1.73,3.2,225.4,4.8,277.6,32.8,Low-Fat,Gluten,Energy Boost
Rajma (Kidney Beans) (118g),Legume,184.1,3.0,5.9,14.4,2.3,12.3,48.1,109.7,2.34,5.6,212.3,0.7,348.0,76.2,Vegan,Soy,Improves Digestion
Sweet Potato (110g),Root,275.5,5.0,1.6,56.5,5.8,657.9,36.1,29.6,1.51,0.6,53.3,2.9,125.0,149.1,Vegan,Soy,Heart Healthy
Guava (118g),Fruit,478.6,6.0,15.7,27.6,5.4,688.3,89.1,122.2,1.49,6.1,224.6,4.7,87.1,35.6,Vegan,Dairy,Supports Bone Health
Banana (115g),Fruit,63.5,0.6,13.6,36.0,3.6,185.9,63.6,281.2,1.09,6.9,277.9,4.0,251.9,100.9,Vegetarian,Nuts,Boosts Immunity
Soybeans (94g),Legume,395.6,22.8,24.8,5.2,2.2,246.8,67.4,227.7,0.69,1.3,209.7,3.5,377.4,77.6,Low-Fat,Nuts,Boosts Immunity
Guava (82g),Fruit,535.9,18.5,18.2,2.5,2.9,539.8,77.4,234.8,0.05,7.7,248.2,2.9,306.4,30.4,Diabetic-Friendly,Nuts,Improves Digestion
Banana (117g),Fruit,272.8,20.4,29.1,28.7,5.0,257.5,9.4,64.3,0.99,5.0,202.1,2.1,305.4,10.3,Vegan,Gluten,Improves Digestion
Egg (87g),Protein,582.7,10.4,15.5,59.3,8.0,434.5,37.2,75.0,0.87,7.6,191.4,3.8,85.4,84.6,High-Protein,Nuts,Heart Healthy
Tomato (81g),Vegetable,584.4,15.4,7.3,10.3,6.7,442.2,8.4,396.9,2.19,4.7,44.1,4.2,201.9,108.9,Diabetic-Friendly,Gluten,Heart Healthy
Sweet Potato (110g),Root,161.4,14.0,11.6,55.4,6.2,703.6,77.8,110.5,1.9,4.2,280.9,2.6,329.1,46.0,High-Protein,Soy,Energy Boost
Potato (89g),Root,279.0,12.4,10.0,46.0,4.7,746.3,78.3,392.3,0.57,3.9,258.2,2.1,130.7,73.6,Low-Fat,Nuts,Supports Bone Health
Potato (82g),Root,93.2,24.2,10.0,6.9,10.2,80.7,81.9,6.1,0.35,8.7,291.3,0.5,313.7,43.4,Diabetic-Friendly,Nuts,Boosts Immunity
Chicken Breast (114g),Meat,240.4,8.3,21.6,45.8,10.5,29.7,6.2,252.5,2.21,10.0,226.6,2.2,43.9,96.9,Vegan,Nuts,Supports Bone Health
Groundnuts (81g),Nut,46.7,20.0,8.9,23.1,1.9,425.4,50.9,317.0,0.41,0.9,262.5,3.1,100.1,137.4,Vegetarian,Dairy,Heart Healthy
Watermelon (96g),Fruit,286.6,16.8,27.0,28.4,3.6,437.7,6.6,378.1,2.37,3.1,289.0,3.5,185.5,48.8,Low-Fat,Nuts,Boosts Immunity
Paneer (104g),Dairy,351.7,14.6,29.8,18.4,11.7,526.9,24.7,226.4,1.65,7.5,24.2,3.1,201.2,136.1,High-Protein,Dairy,Energy Boost
Mutton (94g),Meat,389.2,15.7,20.4,43.5,8.0,670.8,56.5,361.4,1.55,3.2,137.8,2.9,294.3,18.1,High-Protein,Gluten,Heart Healthy
Banana (92g),Fruit,96.7,13.7,29.1,32.3,11.0,664.5,23.1,329.9,1.16,8.1,226.5,1.8,50.5,144.6,Vegetarian,Dairy,Heart Healthy
Tofu (103g),Soy Product,72.4,10.2,8.0,8.3,4.5,599.5,23.6,152.4,1.53,3.8,205.7,2.4,249.7,141.8,High-Protein,Soy,Supports Bone Health
Muskmelon (84g),Fruit,388.5,11.9,21.1,39.3,1.6,37.2,3.3,398.4,0.28,2.4,165.9,2.0,151.5,142.7,Diabetic-Friendly,Nuts,Energy Boost
Cauliflower (106g),Vegetable,399.9,20.9,18.5,56.4,3.5,552.5,19.6,177.9,0.57,3.7,294.5,1.9,361.2,98.5,Vegan,Nuts,Improves Digestion
Apple (87g),Fruit,570.4,20.7,2.8,13.5,7.7,776.9,4.6,133.4,2.37,7.9,69.5,4.2,223.9,90.0,Vegetarian,Gluten,Supports Bone Health
Guava (80g),Fruit,180.8,24.6,29.6,32.9,9.6,88.8,78.0,52.7,0.86,7.9,180.8,0.2,109.8,23.4,Low-Fat,Soy,Boosts Immunity
White Rice (110g),Grain,280.0,9.4,17.9,27.7,2.8,492.5,65.5,363.5,1.58,3.1,196.6,0.3,399.4,127.9,Low-Fat,None,Heart Healthy
Beetroot (84g),Vegetable,541.6,8.4,4.5,8.4,7.6,468.7,64.1,152.4,1.43,3.0,156.6,2.2,318.3,21.6,Diabetic-Friendly,Dairy,Heart Healthy
Beetroot (94g),Vegetable,260.0,20.8,12.0,44.0,3.9,250.7,22.9,381.4,1.65,4.8,36.5,0.5,175.6,113.0,High-Protein,Dairy,Energy Boost
Brown Rice (117g),Grain,574.8,14.3,20.1,25.2,10.5,753.0,38.1,366.3,0.12,2.9,100.6,0.6,205.4,27.4,Low-Fat,Dairy,Boosts Immunity
Mutton (115g),Meat,233.2,19.2,17.3,48.6,10.2,779.7,73.7,245.4,1.54,0.4,279.4,4.2,110.6,31.2,High-Protein,Gluten,Improves Digestion
Spinach (91g),Vegetable,524.5,14.4,12.1,9.4,7.7,25.5,67.2,86.1,1.01,3.5,117.3,3.6,311.9,87.3,Vegan,None,Supports Bone Health
Mango (119g),Fruit,48.9,2.5,13.3,26.0,7.4,331.9,19.4,204.9,0.83,1.2,206.7,3.0,213.1,49.7,Vegetarian,Nuts,Energy Boost
Brown Rice (80g),Grain,138.6,23.7,23.0,46.1,3.6,96.9,44.8,172.3,0.31,5.4,76.7,2.8,268.9,56.4,Low-Fat,None,Heart Healthy
Lentils (Toor Dal) (109g),Legume,554.3,21.6,17.3,34.8,8.6,334.7,10.4,8.3,0.78,8.0,189.3,4.2,368.3,17.8,Vegan,Dairy,Heart Healthy
Papaya (105g),Fruit,323.9,10.2,9.4,21.0,4.1,135.3,45.9,45.6,1.22,9.1,111.3,3.7,328.5,123.2,Vegetarian,None,Supports Bone Health
Curd (92g),Dairy,120.6,4.2,22.8,5.4,11.4,502.7,41.8,225.5,1.39,6.8,265.8,3.3,394.7,51.9,High-Protein,Dairy,Heart Healthy
White Rice (110g),Grain,276.5,7.9,8.3,4.3,6.2,249.0,40.7,22.8,2.0,0.9,260.6,4.3,247.9,78.5,Low-Fat,Soy,Energy Boost
Chickpeas (108g),Legume,547.2,14.5,5.7,36.7,6.1,766.2,40.5,324.4,2.01,9.8,34.5,3.3,20.5,107.6,Low-Fat,Soy,Energy Boost
Pineapple (90g),Fruit,231.1,23.0,11.7,46.7,8.2,42.8,56.8,133.9,0.79,5.6,122.1,1.3,341.4,144.8,Diabetic-Friendly,Dairy,Improves Digestion
Chapati (Whole Wheat) (117g),Grain,404.9,23.0,9.4,39.7,8.0,104.0,63.8,33.9,1.34,6.5,105.3,0.7,282.6,142.3,Diabetic-Friendly,None,Heart Healthy
Green Peas (103g),Legume,30.6,8.1,28.5,21.2,9.2,154.4,90.0,62.0,0.71,7.9,157.2,2.7,296.8,81.3,High-Protein,Soy,Supports Bone Health
Guava (104g),Fruit,109.5,4.9,20.8,37.9,10.9,577.2,3.9,145.7,1.73,9.7,187.1,3.8,314.6,38.9,Vegetarian,Gluten,Heart Healthy
Apple (103g),Fruit,413.4,14.5,13.3,46.4,9.4,402.8,37.7,64.8,0.48,6.1,263.2,0.4,194.8,58.8,Vegan,Soy,Boosts Immunity
Cashews (85g),Nut,462.6,7.2,27.2,9.7,5.4,757.2,20.0,180.5,0.84,0.4,25.4,2.6,98.1,149.2,High-Protein,Dairy,Boosts Immunity
Egg (86g),Protein,506.7,16.4,23.8,9.1,3.6,664.0,62.6,55.5,1.69,4.5,11.5,0.5,106.1,126.1,Diabetic-Friendly,Soy,Energy Boost
Brinjal (87g),Vegetable,470.2,6.3,3.7,15.1,7.7,498.6,5.7,334.7,1.2,5.4,193.3,2.9,288.8,47.2,Vegan,Soy,Improves Digestion
Paneer (116g),Dairy,261.6,16.8,2.7,58.5,1.0,421.3,45.7,395.3,1.33,4.0,146.3,3.2,392.5,41.8,Vegan,Gluten,Boosts Immunity
Mutton (95g),Meat,445.1,15.9,23.2,44.4,4.1,36.4,49.1,325.4,0.42,7.8,144.7,3.5,254.5,122.7,Vegan,Nuts,Boosts Immunity
Cashews (92g),Nut,45.4,5.4,1.4,56.1,6.3,791.3,48.9,101.3,1.81,2.0,113.5,3.9,347.0,53.1,Vegan,Gluten,Heart Healthy
Bottle Gourd (108g),Vegetable,538.9,10.0,29.2,30.3,6.1,739.5,46.7,320.5,1.74,0.9,184.7,4.1,220.5,51.6,Vegan,Gluten,Improves Digestion
Groundnuts (108g),Nut,369.5,10.9,20.7,21.7,0.7,696.2,31.7,399.3,0.66,9.8,284.9,0.5,256.8,57.7,Vegetarian,None,Supports Bone Health
Guava (108g),Fruit,40.2,2.1,23.4,22.6,4.7,454.2,54.5,271.6,2.28,3.8,231.3,2.9,214.1,62.7,High-Protein,Dairy,Boosts Immunity
Lentils (Toor Dal) (91g),Legume,309.4,10.0,16.9,16.4,3.3,357.6,89.7,114.2,2.2,5.0,45.6,4.3,183.6,135.3,Low-Fat,None,Improves Digestion
Mutton (84g),Meat,339.0,7.6,9.1,10.3,8.6,560.5,15.7,144.6,0.54,9.9,239.7,1.3,200.1,57.3,Diabetic-Friendly,Gluten,Heart Healthy
Tofu (88g),Soy Product,374.9,2.6,9.3,60.0,8.7,421.0,69.2,329.3,0.18,9.7,196.3,2.3,273.6,55.0,Diabetic-Friendly,Soy,Supports Bone Health
Carrot (107g),Vegetable,311.7,21.8,25.0,31.6,3.8,130.4,84.1,90.2,2.27,5.2,92.4,0.5,82.5,143.7,High-Protein,Dairy,Improves Digestion
Pineapple (114g),Fruit,74.2,16.2,17.8,35.3,2.2,500.0,81.2,135.0,2.22,0.5,260.5,0.5,379.7,116.8,High-Protein,Dairy,Energy Boost
Bitter Gourd (119g),Vegetable,390.6,12.7,18.9,18.1,11.5,386.9,72.4,274.0,0.71,0.8,27.4,2.3,196.3,34.6,Diabetic-Friendly,Dairy,Improves Digestion
Egg (102g),Protein,585.7,3.7,11.2,34.1,4.0,373.7,24.1,99.2,0.23,3.0,121.4,3.1,103.1,130.5,Vegetarian,Gluten,Energy Boost
Egg (92g),Protein,462.6,12.7,15.5,30.4,3.8,19.5,85.1,202.2,2.32,2.2,112.3,0.3,200.5,132.9,Low-Fat,Gluten,Energy Boost
Spinach (86g),Vegetable,269.9,22.1,21.9,46.1,4.5,321.1,51.3,77.9,1.33,0.8,156.2,3.8,115.5,148.4,Diabetic-Friendly,None,Supports Bone Health
Cabbage (105g),Vegetable,236.5,24.7,16.8,22.6,1.9,482.4,36.1,16.1,0.09,7.2,243.2,2.6,63.8,134.5,Vegetarian,Gluten,Energy Boost
Egg (90g),Protein,247.9,15.6,25.3,36.0,6.2,408.3,44.1,225.2,1.14,0.3,106.1,0.6,169.5,49.6,Vegan,Soy,Heart Healthy
Curd (117g),Dairy,355.0,18.2,17.5,11.1,7.6,496.2,75.7,59.1,1.63,0.4,285.0,0.6,12.5,50.5,Vegetarian,Nuts,Supports Bone Health
Bitter Gourd (112g),Vegetable,469.5,23.1,26.2,44.4,0.9,111.3,18.7,130.0,1.59,5.3,101.0,0.9,365.3,54.6,High-Protein,Gluten,Energy Boost
Sweet Potato (92g),Root,575.3,7.3,9.0,56.5,11.8,617.2,63.4,276.1,1.17,4.9,172.5,4.7,290.1,46.7,Diabetic-Friendly,Soy,Heart Healthy
Bottle Gourd (102g),Vegetable,573.7,20.2,8.8,18.0,8.6,277.7,39.8,102.6,1.15,2.1,166.2,4.7,280.0,24.9,Diabetic-Friendly,Soy,Supports Bone Health
Paneer (83g),Dairy,408.5,13.5,19.2,4.1,5.1,574.2,9.0,308.3,0.01,5.5,279.4,2.1,374.3,132.4,Low-Fat,Dairy,Improves Digestion
Egg (98g),Protein,394.6,22.7,2.8,34.9,6.5,578.8,84.3,365.3,0.42,8.8,61.0,4.6,398.9,62.6,Low-Fat,Dairy,Improves Digestion
Chickpeas (80g),Legume,193.1,15.3,27.9,20.8,5.6,513.4,47.2,355.7,0.32,5.1,89.1,4.1,135.6,111.0,High-Protein,Dairy,Boosts Immunity
Chicken Breast (98g),Meat,349.3,19.1,5.3,51.5,10.8,661.8,46.4,34.7,1.61,1.9,50.8,1.7,103.0,42.8,Vegetarian,Nuts,Improves Digestion
Chicken Breast (99g),Meat,357.8,14.5,7.9,22.2,3.0,534.6,41.9,63.9,1.65,9.2,267.5,3.9,277.7,97.6,High-Protein,Gluten,Energy Boost
Milk (Cow) (94g),Dairy,575.3,12.2,13.7,59.3,4.6,561.9,82.2,302.9,1.92,8.3,230.9,3.4,240.3,119.2,Diabetic-Friendly,Nuts,Energy Boost
Fish (Rohu) (84g),Seafood,552.0,3.2,24.9,54.3,2.6,429.8,14.8,341.8,1.06,6.8,217.9,2.5,360.1,69.6,Vegan,Nuts,Supports Bone Health
Green Peas (106g),Legume,284.9,1.9,13.9,48.6,8.7,317.4,73.5,298.3,1.39,0.5,109.9,0.4,397.7,140.5,Vegan,Nuts,Boosts Immunity
Cashews (106g),Nut,124.4,3.8,19.3,44.0,11.6,300.2,80.2,179.4,2.2,3.8,33.3,4.8,350.4,24.3,High-Protein,None,Supports Bone Health
Soybeans (105g),Legume,326.7,18.3,6.8,1.2,0.5,239.4,60.6,217.8,1.28,8.3,81.8,1.8,113.9,140.9,Vegan,None,Heart Healthy
Pineapple (81g),Fruit,159.6,2.1,17.9,27.3,8.1,697.9,22.0,17.7,1.05,5.4,228.8,3.9,60.4,149.1,Vegetarian,Soy,Improves Digestion
Mushroom (118g),Fungus,468.1,20.6,7.2,52.7,11.8,417.5,37.2,110.1,1.34,6.0,223.2,1.0,273.1,85.6,Vegan,Gluten,Heart Healthy
Rajma (Kidney Beans) (100g),Legume,423.9,10.5,9.1,11.8,6.5,193.5,20.3,343.0,0.35,4.7,26.7,2.1,169.5,81.8,Low-Fat,Dairy,Improves Digestion
Orange (101g),Fruit,395.1,23.1,25.4,6.5,8.8,153.2,24.2,269.5,1.45,8.7,64.6,3.8,291.1,86.0,Low-Fat,Dairy,Improves Digestion
Groundnuts (80g),Nut,142.8,5.2,22.3,45.1,9.1,731.6,62.6,281.5,0.95,2.5,103.3,1.5,189.2,99.1,High-Protein,Gluten,Improves Digestion
Green Peas (111g),Legume,290.3,20.2,21.7,45.9,4.0,163.3,28.2,18.3,2.07,7.4,14.7,2.8,235.7,109.4,High-Protein,Dairy,Supports Bone Health
Chicken Breast (94g),Meat,240.3,20.9,15.0,39.6,8.3,206.6,73.9,386.6,1.54,5.0,58.8,4.0,71.9,109.4,Low-Fat,Dairy,Energy Boost
Muskmelon (83g),Fruit,323.9,21.1,2.3,49.3,0.8,6.1,12.4,252.3,0.16,1.6,73.4,2.3,28.9,97.5,Diabetic-Friendly,Nuts,Heart Healthy
Lentils (Toor Dal) (80g),Legume,328.7,10.6,0.6,43.6,6.5,230.1,45.2,279.1,1.03,9.4,62.0,4.6,212.1,39.9,Diabetic-Friendly,Soy,Improves Digestion
Mutton (97g),Meat,481.1,2.4,28.8,28.1,3.1,558.1,27.0,331.2,0.19,9.9,198.5,0.3,165.1,59.7,Low-Fat,None,Boosts Immunity
Mango (85g),Fruit,309.9,11.1,23.6,34.4,10.3,77.2,47.5,17.0,0.51,8.7,267.4,2.4,23.4,15.8,High-Protein,Soy,Energy Boost
Chickpeas (91g),Legume,558.7,8.2,28.8,35.6,9.1,570.5,35.8,30.8,0.39,2.5,252.0,2.0,359.1,53.1,Vegetarian,None,Energy Boost
Mutton (83g),Meat,76.7,6.2,2.4,36.7,7.4,476.9,87.2,130.6,1.52,7.9,140.7,1.2,223.4,59.4,Vegetarian,Soy,Heart Healthy
Chapati (Whole Wheat) (119g),Grain,191.3,6.5,2.3,16.8,4.7,627.3,13.9,155.8,0.87,1.0,283.5,2.3,305.7,19.8,Vegan,Dairy,Heart Healthy
Beetroot (115g),Vegetable,341.7,10.5,0.9,21.9,1.3,478.8,29.2,154.1,0.7,3.9,34.6,4.5,362.6,146.8,Diabetic-Friendly,Soy,Supports Bone Health
Fish (Pomfret) (90g),Seafood,100.5,7.9,14.8,4.7,5.3,337.5,43.6,30.8,0.6,2.5,191.3,3.0,82.2,20.5,High-Protein,None,Heart Healthy
Chicken Breast (119g),Meat,240.3,21.6,13.3,26.4,9.9,521.2,53.5,120.2,1.45,7.0,148.9,1.0,162.3,51.3,Low-Fat,Soy,Supports Bone Health
Egg (104g),Protein,182.6,19.8,11.0,56.0,2.6,797.8,16.2,307.0,0.06,7.3,283.5,1.1,320.1,125.5,Vegan,Nuts,Heart Healthy
Carrot (120g),Vegetable,195.6,6.7,4.7,26.0,4.6,359.8,53.8,232.9,1.28,9.2,262.2,2.1,19.5,145.4,Diabetic-Friendly,Soy,Boosts Immunity
Cabbage (95g),Vegetable,401.4,9.2,19.4,3.6,11.8,542.3,36.0,301.1,2.32,4.4,13.1,1.4,206.7,80.2,Diabetic-Friendly,Soy,Supports Bone Health
Beetroot (103g),Vegetable,246.9,19.4,17.7,30.5,4.3,20.6,9.4,166.4,2.31,1.2,282.8,0.8,128.2,71.0,Vegetarian,Soy,Heart Healthy
Mutton (110g),Meat,76.6,18.2,13.6,5.0,0.7,568.9,2.0,137.2,0.26,8.0,279.7,3.7,208.8,85.0,High-Protein,Soy,Heart Healthy
Cucumber (94g),Vegetable,482.7,15.9,5.7,39.8,4.9,590.2,79.5,179.8,1.03,0.1,72.3,1.5,283.0,120.4,Diabetic-Friendly,None,Energy Boost
Banana (103g),Fruit,209.1,11.7,7.9,51.9,6.4,511.6,53.7,244.5,1.41,3.5,255.2,3.1,326.4,107.4,High-Protein,Soy,Energy Boost
Chapati (Whole Wheat) (88g),Grain,201.6,6.3,3.6,23.0,1.9,311.4,53.7,229.9,1.02,4.9,165.8,4.6,372.6,30.1,Vegetarian,Nuts,Improves Digestion
Carrot (91g),Vegetable,202.5,11.5,1.7,22.2,0.3,110.1,73.4,385.5,1.21,5.0,208.6,2.1,336.8,75.9,Vegan,Soy,Boosts Immunity
Milk (Cow) (98g),Dairy,39.0,6.0,8.7,47.1,6.9,618.3,44.6,204.3,1.37,2.8,167.5,5.0,219.1,114.7,Low-Fat,Soy,Supports Bone Health
Brinjal (86g),Vegetable,446.9,16.5,7.5,52.6,0.6,211.0,77.6,34.8,2.08,1.3,245.4,1.1,296.4,104.9,Diabetic-Friendly,Nuts,Supports Bone Health
Pineapple (88g),Fruit,475.2,20.4,24.2,34.6,6.5,477.9,15.2,391.6,0.7,5.8,286.2,2.6,360.6,123.2,Vegetarian,Nuts,Boosts Immunity
Almonds (88g),Nut,426.8,3.8,4.5,20.0,3.1,675.0,35.3,56.9,1.52,6.3,118.8,0.5,318.9,116.5,Low-Fat,Soy,Improves Digestion
Fish (Rohu) (109g),Seafood,571.1,8.5,0.2,46.7,8.8,585.0,41.3,265.7,0.86,0.7,165.0,1.2,174.7,35.7,High-Protein,Gluten,Improves Digestion
Chicken Breast (115g),Meat,355.2,14.4,14.6,21.3,8.3,39.7,9.0,313.6,1.1,1.3,258.7,2.3,5.3,143.9,Vegetarian,Dairy,Improves Digestion
Mango (97g),Fruit,74.1,9.3,2.6,40.2,7.9,42.4,56.3,290.4,1.81,4.3,36.4,0.6,89.3,16.3,Diabetic-Friendly,Dairy,Energy Boost
Beetroot (80g),Vegetable,24.7,8.9,3.7,51.8,8.4,382.7,20.6,35.7,1.93,1.1,116.6,1.6,156.2,122.9,Vegetarian,Dairy,Boosts Immunity
Rajma (Kidney Beans) (116g),Legume,24.9,16.4,13.3,43.6,7.6,121.9,37.1,274.6,2.06,1.0,39.1,3.8,237.9,60.7,Low-Fat,Gluten,Supports Bone Health
Paneer (97g),Dairy,393.9,6.6,18.1,43.5,3.6,753.1,2.4,338.8,2.1,2.1,186.0,1.0,159.7,98.7,Vegetarian,Nuts,Heart Healthy
Tomato (95g),Vegetable,309.8,15.1,15.9,58.7,11.8,747.2,11.9,344.3,1.36,3.7,208.1,3.8,382.0,116.7,Vegan,Soy,Boosts Immunity
Spinach (96g),Vegetable,145.1,23.1,28.5,24.5,3.6,570.4,69.0,169.4,0.97,6.4,165.9,0.8,38.0,16.5,Vegetarian,Dairy,Energy Boost
Egg (105g),Protein,360.1,19.2,19.5,38.9,3.9,350.6,85.8,95.5,0.59,9.3,43.6,3.1,26.7,101.6,Vegetarian,None,Boosts Immunity
Carrot (80g),Vegetable,115.0,23.8,15.7,47.2,8.7,134.4,11.4,312.4,0.65,8.9,233.7,0.2,323.8,44.4,Vegan,Gluten,Energy Boost
Watermelon (84g),Fruit,307.8,13.0,1.8,51.7,2.2,126.7,69.6,357.7,1.62,1.2,224.8,0.1,344.2,6.8,Vegan,Nuts,Improves Digestion
Fish (Pomfret) (89g),Seafood,123.8,24.0,1.2,48.4,8.6,524.9,20.2,99.3,2.2,3.3,249.5,2.9,52.2,102.6,Vegan,Dairy,Supports Bone Health
